NIIN,PLANT,COND CODE,QTY,COG,IM Name,LRC
015419063,LN1-RAYTHEON COMPANY,F,2,7S,ANDREW PICKENS,BE1
016210051,MF5-,F,1,7S,ROOSEVELT KEARNEY,BD2
015800482,SDA-DLA DISTRIBUTION ALBANY,A,10,7S,DENE BRASWELL,BB6
012389742,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,KATHERINE L CHILDERS,BG3
015640122,SDA-DLA DISTRIBUTION ALBANY,B,12,7S,MICHELE HARRIS,BC1
016467703,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,MICHELE HARRIS,BA1
016475898,SDA-DLA DISTRIBUTION ALBANY,H,4,7S,ANDREW PICKENS,BE1
016226420,SDA-DLA DISTRIBUTION ALBANY,F,18,7S,MICHELE HARRIS,BA1
016163604,SDA-DLA DISTRIBUTION ALBANY,F,17,7S,MICHELE HARRIS,BA1
011439598,SDA-DLA DISTRIBUTION ALBANY,F,16,7S,JESSE ESPINOZA,BA4
015865355,SDA-DLA DISTRIBUTION ALBANY,K,5,7S,MICHELE HARRIS,BC3
016004568,SDA-DLA DISTRIBUTION ALBANY,A,75,7S,JESSE ESPINOZA,BA3
015594737,SDA-DLA DISTRIBUTION ALBANY,F,15,7S,JESSE ESPINOZA,BA3
016663140,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,MICHELE HARRIS,BA1
012589661,SDA-DLA DISTRIBUTION ALBANY,A,55,7S,BRIDGETT SHEALY,BH1
015049667,LN1-RAYTHEON COMPANY,F,1,7S,ANDREW PICKENS,BE1
016228900,SDA-DLA DISTRIBUTION ALBANY,J,1,7S,DENE BRASWELL,BB6
016597768,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,ROOSEVELT KEARNEY,BD1
014304990,SDA-DLA DISTRIBUTION ALBANY,F,29,7S,ANDREW PICKENS,BE1
015057751,SDA-DLA DISTRIBUTION ALBANY,A,79,7S,MICHELE HARRIS,BC3
016675855,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,BRIDGETT SHEALY,BH1
016637523,SDA-DLA DISTRIBUTION ALBANY,K,1,7S,DENE BRASWELL,BB5
016785520,SDA-DLA DISTRIBUTION ALBANY,J,5,7S,KATHERINE L CHILDERS,BJ2
